,metric,ignore,dataset,model,error_rate,global
0,demographic_parity,True,german,LFR_tuned,20.0,0.0
1,demographic_parity,True,german,Reweighing_tuned,21.333333333333343,4.963633335184059
2,demographic_parity,True,german,Fair-SMOTE_tuned,26.66666666666667,7.24001998778524
3,demographic_parity,True,german,FairSSL-LS_tuned,34.33333333333334,3.558936205652108
4,demographic_parity,True,german,FairSSL-CT_tuned,35.0,5.86863583365721
5,demographic_parity,True,german,FairSSL-LP_tuned,36.66666666666667,7.706401643440131
6,demographic_parity,True,german,FairSSL-ST_tuned,36.66666666666667,2.8204985841985386
7,demographic_parity,True,german,GridSearchReduction_tuned,22.0,3.2979845649880657
8,demographic_parity,True,german,ExponentiatedGradientReduction_tuned,22.0,3.2979845649880657
9,demographic_parity,True,german,FAGTB_tuned,20.0,0.0
10,demographic_parity,True,german,RejectOptionClassification_tuned,25.66666666666667,4.4028649158847415
11,demographic_parity,True,german,EqOddsPostprocessing_tuned,24.66666666666667,3.830992171450776
12,demographic_parity,True,german,CalibratedEqOddsPostprocessing_tuned,21.333333333333343,4.81927710843374
13,demographic_parity,True,german,JiangNachum_tuned,22.0,2.376325578812944
14,demographic_parity,False,german,LFR_tuned,20.0,0.0
15,demographic_parity,False,german,Reweighing_tuned,21.333333333333343,4.963633335184059
16,demographic_parity,False,german,Fair-SMOTE_tuned,29.0,12.131475209594145
17,demographic_parity,False,german,FairSSL-LS_tuned,34.33333333333334,3.558936205652108
18,demographic_parity,False,german,FairSSL-CT_tuned,39.0,9.410915551607346
19,demographic_parity,False,german,FairSSL-LP_tuned,35.66666666666667,4.480595191827219
20,demographic_parity,False,german,FairSSL-ST_tuned,35.66666666666667,3.3812670034978565
21,demographic_parity,False,german,GridSearchReduction_tuned,22.0,3.2979845649880657
22,demographic_parity,False,german,ExponentiatedGradientReduction_tuned,22.0,3.2979845649880657
23,demographic_parity,False,german,FAGTB_tuned,20.0,0.0
24,demographic_parity,False,german,RejectOptionClassification_tuned,23.33333333333333,9.893953694964186
25,demographic_parity,False,german,EqOddsPostprocessing_tuned,23.33333333333333,0.8883460107712016
26,demographic_parity,False,german,CalibratedEqOddsPostprocessing_tuned,21.0,10.843373493975903
27,demographic_parity,False,german,JiangNachum_tuned,22.0,2.376325578812944
28,demographic_parity,True,communities,LFR_tuned,35.55926544240401,1.9832775919732448
29,demographic_parity,True,communities,Reweighing_tuned,16.193656093489153,34.59420289855073
30,demographic_parity,True,communities,Fair-SMOTE_tuned,17.028380634390643,27.569676700111483
31,demographic_parity,True,communities,FairSSL-LS_tuned,25.87646076794657,7.848383500557415
